,player_name,player_age,from_team,from_competition,to_team,to_competition,transfer_date,first_nationality,second_nationality,market_value_number,transfer_fee_number,transfer_fee_other
126,Alen Halilovic,23,AC Milan,Serie A,Heerenveen,Eredivisie,9/2/2019,Croatia,,1400,0,Loan
127,Mike Trésor Ndayishimiye,20,NEC Nijmegen,Keuken Kampioen Divisie,Willem II,Eredivisie,9/2/2019,Belgium,Burundi,3600,0,Loan
128,Alexander Laukart,21,FC Twente,Eredivisie,FC Den Bosch,Keuken Kampioen Divisie,9/2/2019,Germany,,200,0,Free transfer
129,Joel Latibeaudiere,20,Man City U23,Premier League 2,FC Twente,Eredivisie,9/2/2019,England,Jamaica,100,0,Loan
130,Tesfaldet Tekie,22,KAA Gent,Jupiler Pro League,Without Club,None,9/2/2019,Sweden,Eritrea,650,0,-
131,George Cox,22,Brighton U23,Premier League 2,Fortuna Sittard,Eredivisie,9/2/2019,England,,75,0,Loan
132,Jannik Pohl,24,FC Groningen,Eredivisie,AC Horsens,Superligaen,9/2/2019,Denmark,,300,0,Loan
133,Lucas Schoofs,23,KAA Gent,Jupiler Pro League,Heracles Almelo,Eredivisie,9/2/2019,Belgium,,250,0,Free transfer
134,Mateo Cassierra,23,Ajax,Eredivisie,Belenenses SAD,Liga NOS,9/2/2019,Colombia,,1200,2500,
135,Jeremy Cijntje,22,FC Dordrecht,Keuken Kampioen Divisie,Heracles Almelo,Eredivisie,9/2/2019,Curacao,Netherlands,300,0,?
136,Reza Ghoochannejhad,32,APOEL Nicosia,First Division,PEC Zwolle,Eredivisie,9/2/2019,Iran,Netherlands,525,0,Free transfer
137,Miquel Nelom,29,Hibernian FC,Premiership,Willem II,Eredivisie,9/2/2019,Netherlands,Suriname,400,0,Free transfer
138,Nouha Dicko,27,Hull City,Championship,Vitesse,Eredivisie,9/2/2019,Mali,France,1200,0,Loan
139,Aleksandar Bjelica,26,Korona Kielce,Ekstraklasa,ADO Den Haag,Eredivisie,9/2/2019,Serbia,Netherlands,300,0,Loan
140,Jeroen van der Lely,24,FC Twente,Eredivisie,Vendsyssel FF,NordicBet LIGA,9/2/2019,Netherlands,,250,0,Free transfer
141,Jelle van der Heyden,24,FC Twente,Eredivisie,Vendsyssel FF,NordicBet LIGA,9/2/2019,Netherlands,,250,0,Free transfer
142,Tom Boere,27,FC Twente,Eredivisie,KFC Uerdingen,3. Liga,9/2/2019,Netherlands,,400,0,Free transfer
143,Vyacheslav Karavaev,24,Vitesse,Eredivisie,Zenit S-Pb,Premier Liga,9/2/2019,Russia,,5500,8000,
144,Marcos Senesi,22,San Lorenzo,Superliga,Feyenoord,Eredivisie,9/2/2019,Argentina,Italy,7000,7000,
145,Luciano Slagveer,26,KSC Lokeren,Proximus League,FC Emmen,Eredivisie,9/2/2019,Netherlands,Suriname,400,0,Free transfer
146,John Yeboah,19,VfL Wolfsburg,Bundesliga,VVV-Venlo,Eredivisie,9/2/2019,Germany,Ghana,575,0,Loan
147,Van Hau Doan,20,Ha Noi FC,V.League 1,Heerenveen,Eredivisie,9/2/2019,Vietnam,,150,0,Loan
148,Thijmen Goppel,23,ADO Den Haag,Eredivisie,MVV Maastricht,Keuken Kampioen Divisie,9/2/2019,Netherlands,,300,0,Loan
149,Leandro Fernandes,20,Juventus U23,Serie C - A,Fortuna Sittard,Eredivisie,9/2/2019,Netherlands,Angola,175,0,Loan
150,Tino-Sven Susic,28,VVV-Venlo,Eredivisie,Without Club,None,9/2/2019,Bosnia-Herzegovina,Belgium,650,0,-
151,Emil Bergström,26,FC Utrecht,Eredivisie,FC Basel,Super League,9/2/2019,Sweden,,800,0,Loan
152,Zian Flemming,21,PEC Zwolle,Eredivisie,NEC Nijmegen,Keuken Kampioen Divisie,9/2/2019,Netherlands,,675,0,Loan
153,Denzel James,25,Sparta R.,Eredivisie,Noordwijk,Tweede Divisie,9/2/2019,Netherlands,,0,0,Free transfer
154,Tim van de Berg,22,Heracles Almelo,Eredivisie,DHSC Utrecht,Hoofdklasse A Saturday,9/2/2019,Netherlands,,100,0,Free transfer
155,Mukhtar Ali,22,Vitesse,Eredivisie,Al-Nassr,Professional League,9/1/2019,Saudi Arabia,England,450,0,?
156,Derrick Luckassen,24,PSV Eindhoven,Eredivisie,RSC Anderlecht,Jupiler Pro League,8/31/2019,Netherlands,Ghana,2400,0,Loan
157,Bart Nieuwkoop,24,Feyenoord,Eredivisie,Willem II,Eredivisie,8/30/2019,Netherlands,,1200,0,Loan
